Theta1,Theta2,Omega1,Omega2
-1,-39,-1.591290723656967,31.930874635649584
-1,-40,-1.246930788276175,30.95086179761153
-1,-41,-0.9166057418711283,30.019655876191912
0,-39,-1.9084820886390106,32.79175714134286
0,-40,-1.5579511574190674,31.794182285995344
0,-41,-1.221706623066979,30.84628897653763
1,-39,-2.2250921114889737,33.64265096015
1,-40,-1.8684969595472023,32.62781795845767
1,-41,-1.5264353605905037,31.66352599844638
1,-42,-1.1978403815693013,30.746197955676386
2,-39,-2.5410243497268286,34.48329690157101
2,-40,-2.1784735994009203,33.45151488149709
2,-41,-1.830699131116281,32.471118003604545
2,-42,-1.496616192667037,31.53846940086762
2,-43,-1.1752398653380083,30.650271816301817
3,-39,-2.8561825673322954,35.31343889670858
3,-40,-2.487786655092911,34.265022149051504
3,-41,-2.1344052529523365,33.26881899166402
3,-42,-1.7949361199744374,32.32113392275932
3,-43,-1.468378458261994,31.41861652589613
3,-44,-1.1538213529493548,30.558222299145907
4,-39,-3.1704707640592913,36.132824076269266
4,-40,-2.7963419068700324,35.06809195892659
4,-41,-2.437461214271898,34.05638597517636
4,-42,-2.0927092923517545,33.0939531141563
4,-43,-1.7610697688830912,32.17739082053768
4,-44,-1.4416175534228168,31.303607214119353
4,-45,-1.1335086611609546,30.46978661560794
5,-39,-3.4837932046785176,36.941202847589786
5,-40,-3.104045365813548,35.86047968827876
5,-41,-2.7397747012933715,34.83357905360902
5,-42,-2.3898450052060976,33.85669156684639
5,-43,-2.0532246405927195,32.926363570225924
5,-44,-1.7289746232242436,32.03945674709054
5,-45,-1.4162382926173438,31.193113129908326
5,-46,-1.114232328675903,30.384724674684065
6,-39,-3.7960544481393397,37.73832897066548
6,-40,-3.410803302469076,36.641943968129596
6,-41,-3.041253626400044,35.60016148642152
6,-42,-2.6862527481209,34.609116943308074
6,-43,-2.344754080186791,33.66530663060582
6,-44,-2.015805030606485,32.765546751163356
6,-45,-1.6985365241703925,31.906937919774858
6,-46,-1.3921538889052496,31.08683429666379
6,-47,-1.095928904258089,30.302816663691253
7,-39,-4.107159376642048,38.52395963315729
7,-40,-3.7165222753974763,37.412246756889274
7,-41,-3.3418061561908265,36.355899765178734
7,-42,-2.981842232426314,35.3510000474828
7,-43,-2.6355692849738945,34.39399491246289
7,-44,-2.302021404248858,33.4816560522888
7,-45,-1.9803173650440848,32.61104354726158
7,-46,-1.6696513855739414,31.77947456777182
7,-47,-1.369285064488869,30.984496074103284
7,-48,-1.0785403239882676,30.223860931180155
8,-39,-4.417013224611687,39.297855524354866
8,-40,-4.021109159638032,38.17115341286623
8,-41,-3.6413407394536272,37.10056368467996
8,-42,-3.2765234187019727,36.082114894590205
8,-43,-2.9255816698254575,35.112206450287495
8,-44,-2.5875365598713143,34.18756651663662
8,-45,-2.261494982064621,33.305215534973534
8,-46,-1.946640290256309,32.46243450307183
8,-47,-1.6422241272244462,31.6567373068576
8,-48,-1.347559272639034,30.88584651311155
8,-49,-1.0620133649343722,30.147672128856016
9,-39,-4.7255216075645405,40.05978090807285
9,-40,-4.324471175075204,38.91843276574135
9,-41,-3.939766135052734,37.83392641308161
9,-42,-3.5702065442039017,36.80223877996545
9,-43,-3.214702894159654,35.81972246988778
9,-44,-2.8722635267916075,34.8830631170411
9,-45,-2.5419837258060265,33.989242431398665
9,-46,-2.2230362294487374,33.13550606635155
9,-47,-1.9146629525822914,32.31933559076256
9,-48,-1.6161677416812557,31.53842396699714
9,-49,-1.3269100150950544,30.79065403420311
9,-50,-1.0462991645461324,30.07407957623509
10,-39,-5.032590550858575,40.80950369445844
10,-40,-4.626515914700357,39.65385718698472
10,-41,-4.2369914397217325,38.555764560992365
10,-42,-3.8628021502071017,37.51115234689701
10,-43,-3.502844888850759,36.51632745503029
10,-44,-3.156115574417397,35.567933998500294
10,-45,-2.8216981566798043,34.66291587531802
10,-46,-2.4987550102706413,33.7984842334926
10,-47,-2.1865185530570193,32.972089091962125
10,-48,-1.8842839103731936,32.181394511422816
10,-49,-1.59140247561107,31.424256808055617
10,-50,-1.307276241582557,30.698705384277083
10,-51,-1.0313527967615537,30.002925817453306
11,-39,-5.338126518319015,41.546795510688135
11,-40,-4.927151372759816,40.37720265919337
11,-41,-4.532926115753528,39.26585824951975
11,-42,-4.1542211092555394,38.20863965344502
11,-43,-3.7899198830558976,37.20180921308839
11,-44,-3.4390062386652427,36.24197054270923
11,-45,-3.100553070960654,35.32603065927453
11,-46,-2.7737126461104333,34.45116705492287
11,-47,-2.4577081187992054,33.61479897541648
11,-48,-2.1518261079325613,32.81456229133213
11,-49,-1.8554101795167526,32.04828744887079
11,-50,-1.5678551096119242,31.313980069273974
11,-51,-1.2886018201887375,30.60980383345239
12,-39,-5.6420364407303865,42.27143177053243
12,-40,-5.2262859727807545,41.0882488443293
12,-41,-4.8274800185790285,39.96399117724743
12,-42,-4.444374652311258,38.89448823821918
12,-43,-4.07584043095088,37.87595893967817
12,-44,-3.7208493482983878,36.90496743160701
12,-45,-3.378463526740354,35.97838479208129
12,-46,-3.047825382208661,35.09335571713223
12,-47,-2.728149042840053,34.24726946546905
12,-48,-2.418712838414246,33.437734437685705
12,-49,-2.118852707507997,32.66255587087029
12,-50,-1.8279563937867513,31.919716212596445
12,-51,-1.545458323018527,31.207357806679987
12,-52,-1.27083506906756,30.523767579649316
13,-39,-5.944227744186275,42.98319174276687
13,-40,-5.523828595466212,41.78677915083644
13,-41,-5.12056342422602,40.64995068612264
13,-42,-4.733174395794256,39.56848918509662
13,-43,-4.360519438367046,38.53857128226227
13,-44,-4.001559051175364,37.55672270991868
13,-45,-3.655344869801899,36.61977956034995
13,-46,-3.3210097211705216,35.724854603233204
13,-47,-2.997758946254279,34.8693079054817
13,-48,-2.684862805534751,34.05072112621096
13,-49,-2.3816498124387415,33.26687496194224
13,-50,-2.087500864736221,32.515729301147324
13,-51,-1.80184406427193,31.7954057164072
13,-52,-1.5241501322624416,31.104171979655614
13,-53,-1.2539283413862727,30.440428333463114
14,-39,-6.244608378288257,43.68185861840894
14,-40,-5.8196886064509625,42.472580799616615
14,-41,-5.412087056649984,41.32352782623395
14,-42,-5.020532368505007,40.230437186859724
14,-43,-4.643870189320983,39.18944440270226
14,-44,-4.281049840401381,38.19703784667276
14,-45,-3.9311127594059814,37.25001958902075
14,-46,-3.5931824483999697,36.34547135254759
14,-47,-3.266455703253534,35.48072481651977
14,-48,-2.95019493743584,34.653335635224416
14,-49,-2.6437214437650605,33.861060640637355
14,-50,-2.346409462700216,33.101837783566125
14,-51,-2.057680946368509,32.373768437544186
14,-52,-1.7770009245622584,31.675101747564018
14,-53,-1.5038733930861525,31.004220753734085
14,-54,-1.2378376566236335,30.359630059941466
15,-39,-6.543086844185338,44.367219576760185
15,-40,-6.113775883909597,43.145444888844104
15,-41,-5.701962114928423,41.98451741945938
15,-42,-5.306361038421322,40.88013060773469
15,-43,-4.925806372429069,39.82838003874052
15,-44,-4.559236580374547,38.82571779567573
15,-45,-4.205683193982002,37.868912900875685
15,-46,-3.864260657447693,36.9550169192015
15,-47,-3.5341574662027044,36.08133395506921
15,-48,-3.2146284113798074,35.24539440250899
15,-49,-2.9049877719293047,34.44493191224185
15,-50,-2.6046033216116955,33.67786312553135
15,-51,-2.312891038915614,32.94226979520336
15,-52,-2.0293104251662624,32.23638297263652
15,-53,-1.7533603503821484,31.558568988018845
15,-54,-1.4845753583481252,30.907316991576383
15,-55,-1.2225223723332135,30.28122785727885
16,-39,-6.83957222244537,45.039065850233435
16,-40,-6.406000846008517,43.80516645759914
16,-41,-5.99010030031051,42.632718121965695
16,-42,-5.590573339361459,41.517371544811844
16,-43,-5.206242107198757,40.45518356439279
16,-44,-4.8360345327190135,39.442571054924954
16,-45,-4.478972536715772,38.47627097501663
16,-46,-4.134161775265227,37.55330562971054
16,-47,-3.8007826905515225,36.670952369768216
16,-48,-3.478082678368864,35.826717081228765
16,-49,-3.1653692126769717,35.018310923910335
16,-50,-2.86200379312005,34.24362986414375
16,-51,-2.56739660244679,33.50073661836398
16,-52,-2.2810017781563885,32.7878446831747
16,-53,-2.002313217130238,32.10330417647513
16,-54,-1.7308608440370612,31.445589255049768
16,-55,-1.4662072843587868,30.813286908156062
16,-56,-1.2079448913267348,30.205086955294288
17,-39,-7.133974200750024,45.697192787945475
17,-40,-6.696274478193422,44.45154454830101
17,-41,-6.2764138431137155,43.26793248553963
17,-42,-5.87308269750533,42.14196588832863
17,-43,-5.485091970188594,41.069664049233204
17,-44,-5.111359382097104,40.04740972494209
17,-45,-4.750897541026072,39.07190880429056
17,-46,-4.4028035873574884,38.14015523953773
17,-47,-4.066250159673793,37.24940045713591
17,-48,-3.7404774876811464,36.397126594864396
17,-49,-3.4247864512988366,35.5810230188414
17,-50,-3.118532470548169,34.79896566137405
17,-51,-2.8211201121019296,34.048998792621724
17,-52,-2.5319983159083264,33.3293188985994
17,-53,-2.250656159875544,32.63826038748756
17,-54,-1.9766190927456777,31.9742828874158
17,-55,-1.7094455754420748,31.335959933346043
17,-56,-1.4487240796968486,30.721968869604062
17,-57,-1.1940703999415263,30.131081818963278
18,-39,-7.426203101404767,46.34139991805566
18,-40,-6.984508360303995,45.084382267921676
18,-41,-6.560815529459323,43.88996701773261
18,-42,-6.153803057765707,42.753723380797446
18,-43,-5.76227102102903,41.67163431655343
18,-44,-5.385127261892552,40.640049566009054
18,-45,-5.021375375922402,39.65564495164464
18,-46,-4.67010426282613,38.71538698860697
18,-47,-4.3304790096067745,37.8165020162813
18,-48,-4.001732911315862,36.95644919115234
18,-49,-3.68316046679098,36.132896789479815
18,-50,-3.3741112127758566,35.34370135655873
18,-51,-3.0739842812421196,34.58688931200717
18,-52,-2.7822235824452184,33.86064068061921
18,-53,-2.4983135309519597,33.163274668212054
18,-54,-2.221775244130704,32.49323684347248
18,-55,-1.952163152843313,31.84908772158206
18,-56,-1.68906197267818,31.229492574585755
18,-57,-1.4320839913057115,30.63321231804795
18,-58,-1.1808666336550107,30.059095344304474
19,-39,-7.716169908655579,46.97149100883158
19,-40,-7.27061469350757,45.70348684796134
19,-41,-6.843218727838615,44.498632240800326
19,-42,-6.432648910001458,43.352457674959844
19,-43,-6.037694828296094,42.26091100037868
19,-44,-5.657254779757125,41.220310054289186
19,-45,-5.290323651236071,40.22730160539359
19,-46,-4.935982379295993,39.278825655755114
19,-47,-4.593388753683137,38.372084302575864
19,-48,-4.2617693683401345,37.504514495011506
19,-49,-3.9404125559253655,36.673764129728916
19,-50,-3.628662168042381,35.8776710179281
19,-51,-3.3259120849918875,35.11424432985747
19,-52,-3.031601356726897,34.381648183472336
19,-53,-2.7452098915251395,33.678187094212745
19,-54,-2.466254621253549,33.0022930448176
19,-55,-2.1942860824371633,32.35251396916903
19,-56,-1.9288853610203232,31.72750347360234
19,-57,-1.6696613560132347,31.126011643909955
19,-58,-1.4162483233879848,30.54687680721505
20,-39,-8.003786295803994,47.58727412842316
20,-40,-7.554506327043481,46.30866970316748
20,-41,-7.123537415501654,45.09374274941958
20,-42,-6.709535315064758,43.93798639054976
20,-43,-6.311279495229987,42.83731460132255
20,-44,-5.927659043012731,41.78801443681669
20,-45,-5.5576604427170535,40.786704633382904
20,-46,-5.200356947717191,39.83029961210598
20,-47,-4.85489930704797,38.91597808027313
20,-48,-4.520507649130122,38.0411555604411
20,-49,-4.196464357223581,37.20346028615738
20,-50,-3.882107797660882,36.400711993150594
20,-51,-3.5768267837017307,35.63090320872556
20,-52,-3.280055675867531,34.892182703226254
20,-53,-2.9912700345719125,34.18284081817661
20,-54,-2.7099827533276137,33.50129642800086
20,-55,-2.435740611233782,32.846085327595176
20,-56,-2.1681211921959678,32.21584986770964
20,-57,-1.906730125697348,31.609329685100775
20,-58,-1.6511986101621487,31.025353395535895
20,-59,-1.4011811852250138,30.4628311356324
21,-39,-8.288964652112297,48.18856170332695
21,-40,-7.8360967847700245,46.89974648897989
21,-41,-7.401686204660675,45.675117267164445
21,-42,-6.98437793067436,44.5101311698483
21,-43,-6.582941685290902,43.40066954126447
21,-44,-6.196257683901311,42.34298978533715
21,-45,-5.823304316988922,41.33368363603123
21,-46,-5.463147437035123,40.369640873350235
21,-47,-5.1149310110534145,39.44801767405959
21,-48,-4.7778689394990455,38.56620892137403
21,-49,-4.451237874826526,37.721823908184675
21,-50,-4.134370899637392,36.912664958878345
21,-51,-3.826651946323765,36.13670856931198
21,-52,-3.527510858274683,35.39208872612061
21,-53,-3.236419007789076,34.677082117690645
21,-54,-2.952885398402826,33.990094991757836
21,-55,-2.6764531898446675,33.32965145024335
21,-56,-2.4066965926534083,32.69438300186529
21,-57,-2.14321808691426,32.083019218263054
21,-58,-1.885645925844139,31.494379360663114
21,-59,-1.6336318902706093,30.927364862158193
21,-60,-1.3868492645659904,30.380952566010667
22,-39,-8.57161810949055,48.77517057552282
22,-40,-8.115300291505955,47.476537157683694
22,-41,-7.677580368500011,46.242578701724945
22,-42,-7.2570930371070865,45.06871773201316
22,-43,-6.8525986475440845,43.9508042168324
22,-44,-6.462968884674878,42.885067048983245
22,-45,-6.087174356354217,41.868071998235614
22,-46,-5.724273798721037,40.89668515091496
22,-47,-5.373404657523437,39.96804101952101
22,-48,-5.033774844704737,39.07951464147025
22,-49,-4.7046555022526855,38.228697097230004
22,-50,-4.385374632187324,37.413373969278624
22,-51,-4.075311473693337,36.63150633840402
22,-52,-3.7738915267026423,35.88121397593813
22,-53,-3.4805821364245664,35.1607604420672
22,-54,-3.1948885659804356,34.46853984331085
22,-55,-2.916350494886541,33.803065038188194
22,-56,-2.6445388900145304,33.162957110240974
22,-57,-2.3790532031400793,32.54693595297627
22,-58,-2.119518855510452,31.953811832744172
22,-59,-1.8655849752170808,31.382477813746856
22,-60,-1.6169223577102998,30.8319029448314
22,-61,-1.373221623672481,30.301126120893755
23,-39,-8.851660568957534,49.346922058265704
23,-40,-8.392031799158412,48.038866013253745
23,-41,-7.951135866984714,46.79595419885098
23,-42,-7.527597562699678,45.6135759261664
23,-43,-7.1201682418666135,44.487551051674885
23,-44,-6.7277114025179925,43.41408110576925
23,-45,-6.349190183442786,42.38970694012423
23,-46,-5.983656491155577,41.41127190200764
23,-47,-5.630241512881446,40.47588971250879
23,-48,-5.2881474133294635,39.58091636283492
23,-49,-4.956640046037843,38.72392545480984
23,-50,-4.635042537142212,37.90268650353637
23,-51,-4.322729621709596,37.11514579580802
23,-52,-4.019122631213057,36.35940946038946
23,-53,-3.7236850460241486,35.63372845820316
23,-54,-3.435918539551274,34.93648524372336
23,-55,-3.1553594513163508,34.26618188506477
23,-56,-2.8815756352115343,33.62142946062409
23,-57,-2.6141636367138164,33.000938575708965
23,-58,-2.3527461592011396,32.40351086419745
23,-59,-2.0969697849077735,31.828031358584575
23,-60,-1.8465029206409747,31.27346162733979
23,-61,-1.601033942287985,30.738833591770565
23,-62,-1.3602695154816606,30.223243945934218
24,-39,-9.12900672686725,49.90364199051528
24,-40,-8.66620701262941,48.5865617648732
24,-41,-8.222269372459953,47.33507519500546
24,-42,-7.795809109153193,46.14453978322388
24,-43,-7.385568963968056,45.01074654750645
24,-44,-6.990404594295091,43.929870812888765
24,-45,-6.609271985695496,42.89842956664056
24,-46,-6.241216503857927,41.91324437851896
24,-47,-5.885363342133251,40.97140905739138
24,-48,-5.540909161024657,40.07026135364653
24,-49,-5.207114749248922,39.20735812956902
24,-50,-4.883298563239622,38.38045351231356
24,-51,-4.5688310244078565,37.58747962026012
24,-52,-4.263129472035892,36.82652951649764
24,-53,-3.9656536850865645,36.095842095459076
24,-54,-3.6759018990504706,35.393788652293296
24,-55,-3.393407254690638,34.71886092099519
24,-56,-3.117734624555601,34.06966039789541
24,-57,-2.8484777707198385,33.444888792864226
24,-58,-2.5852567936201685,32.843339472341626
24,-59,-2.3277158372881823,32.26388977674541
24,-60,-2.0755210208945454,31.705494110483663
24,-61,-1.828358570455102,31.16717771616155
24,-62,-1.5859331279108908,30.648031055996352
24,-63,-1.3479662176749667,30.147204733249094
25,-39,-9.403572100893287,50.4451607899871
25,-40,-8.937742415492922,49.11945757911049
25,-41,-8.490898295033425,47.85977746871037
25,-42,-8.06164597663236,46.6614475664512
25,-43,-7.6487199702174555,45.520231333910736
25,-44,-7.250968441115199,44.43227905580049
25,-45,-6.867340539675903,43.39408491594448
25,-46,-6.496875381553183,42.402449674769876
25,-47,-6.13869243269825,41.45444811417613
25,-48,-5.791983094113405,40.54740055468047
25,-49,-5.456003314864928,39.678847863231745
25,-50,-5.130067089289091,38.84652946315111
25,-51,-4.81354071691682,38.04836393430179
25,-52,-4.505837722323681,37.28243185496849
25,-53,-4.206414347620351,36.54696058954443
25,-54,-3.9147655432219524,35.840310769972405
25,-55,-3.6304213933424667,35.16096425555992
25,-56,-3.3529439217308514,34.50751338656931
25,-57,-3.081924230803072,33.87865137290527
25,-58,-2.8169799337759147,33.273163681121964
25,-59,-2.5577528448754645,32.689920301532915
25,-60,-2.3039068973391252,32.12786879298347
25,-61,-2.0551262628899485,31.586028016296947
25,-62,-1.8111136497460776,31.063482478904692
25,-63,-1.5715887591279978,30.55937722302788
25,-64,-1.3362868827172214,30.072913198252525
26,-39,-9.675273055762942,50.97131350480903
26,-40,-9.206555295434825,49.6373911307383
26,-41,-8.756940807733049,48.36990119057023
26,-42,-8.32502718865213,47.164141820730194
26,-43,-7.909541102269113,46.01585021688635
26,-44,-7.509323572706434,44.92115279608666
26,-45,-7.123317235202505,43.87652200661507
26,-46,-6.750555248070569,42.8787387740881
26,-47,-6.390151618081401,41.924859744487065
26,-48,-6.041292733043491,41.012188624713986
26,-49,-5.703229929017735,40.1382510354577
26,-50,-5.3752729472070895,39.30077238479939
26,-51,-5.0567841582936,38.497658348106306
26,-52,-4.747173450792222,37.7269776035333
26,-53,-4.445893695595406,36.98694652539587
26,-54,-4.1524367118857874,36.27591558179811
26,-55,-3.866329670469204,35.59235721980049
26,-56,-3.587131879706851,34.93485505238388
26,-57,-3.3144319069103374,34.302094187548256
26,-58,-3.0478449945551387,33.69285256192066
26,-59,-2.7870107361686878,33.105993159922214
26,-60,-2.531590981424333,32.54045701541928
26,-61,-2.281267943956666,31.995256906317877
26,-62,-2.0357424888188986,31.46947166413123
26,-63,-1.7947325794206797,30.96224103046921
26,-64,-1.5579718662912156,30.472761000923786
26,-65,-1.3252084021709314,30.000279604171602
27,-39,-9.944026828733337,51.481939863767224
27,-40,-9.472563769447836,50.14020465217949
27,-41,-9.020315871432253,48.865290971957705
27,-42,-8.585872516743883,47.65246942052128
27,-43,-8.167952911479574,46.497452226120345
27,-44,-7.765391291592977,45.396343118070156
27,-45,-7.377124099294141,44.34559388364103
27,-46,-7.0021788300652945,43.34196659420006
27,-47,-6.639664301378886,42.382500656384565
27,-48,-6.288762135683769,41.464483984798406
27,-49,-5.948719284085738,40.58542770759028
27,-50,-5.618841444913929,39.74304391046414
27,-51,-5.2984872542295935,38.9352260022428
27,-52,-4.987063144240745,38.16003134925063
27,-53,-4.6840187812824405,37.41566587903507
